Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Βίβλος,The book,N-NFS,G976,Matthew 1,1
γενέσεως,of the genealogy,N-GFS,G1078,Matthew 1,2
Ἰησοῦ,of Jesus,N-GMS,G2424,Matthew 1,3
Χριστοῦ,Christ,N-GMS,G5547,Matthew 1,4
υἱοῦ,son,N-GMS,G5207,Matthew 1,5
Δαυὶδ,of David,N-GMS,G1138,Matthew 1,6
Ἀβραάμ,of Abraham,N-GMS,G11,Matthew 1,7
Ἀβραὰμ,Abraham,N-NMS,G11,Matthew 1,8
ἐγέννησεν,begat,V-AIA-3S,G1080,Matthew 1,9
τὸν,-,Art-AMS,G3588,Matthew 1,10
Ἰσαάκ,Isaac,N-AMS,G2464,Matthew 1,11
Ἰσαὰκ,Isaac,N-NMS,G2464,Matthew 1,12
δὲ,then,Conj,G1161,Matthew 1,13
Ἰακώβ,Jacob,N-AMS,G2384,Matthew 1,14
Ἰακὼβ,Jacob,N-NMS,G2384,Matthew 1,15
Ἰούδαν,Judah,N-AMS,G2455,Matthew 1,16
καὶ,and,Conj,G2532,Matthew 1,17
τοὺς,the,Art-AMP,G3588,Matthew 1,18
ἀδελφοὺς,brothers,N-AMP,G80,Matthew 1,19
αὐτοῦ,of him,PPro-GM3S,G846,Matthew 1,20
Ἰούδας,Judah,N-NMS,G2455,Matthew 1,21
Φαρὲς,Perez,N-AMS,G5329,Matthew 1,22
Ζαρὰ,Zerah,N-AMS,G2196,Matthew 1,23
ἐκ,out of,Prep,G1537,Matthew 1,24
τῆς,-,Art-GFS,G3588,Matthew 1,25
Θάμαρ,Tamar,N-GFS,G2283,Matthew 1,26
Φαρὲς,Perez,N-NMS,G5329,Matthew 1,27
Ἑσρώμ,Hezron,N-AMS,G2074,Matthew 1,28
Ἑσρὼμ,Hezron,N-NMS,G2074,Matthew 1,29
Ἀράμ,Ram,N-AMS,G689,Matthew 1,30
Ἀρὰμ,Ram,N-NMS,G689,Matthew 1,31
Ἀμιναδάβ,Amminadab,N-AMS,G284,Matthew 1,32
Ἀμιναδὰβ,Amminadab,N-NMS,G284,Matthew 1,33
Ναασσών,Nahshon,N-AMS,G3476,Matthew 1,34
Ναασσὼν,Nahshon,N-NMS,G3476,Matthew 1,35
Σαλμών,Salmon,N-AMS,G4533,Matthew 1,36
Σαλμὼν,Salmon,N-NMS,G4533,Matthew 1,37
Βόες,Boaz,N-AMS,G1003,Matthew 1,38
Ῥαχάβ,Rahab,N-GFS,G4477,Matthew 1,39
Βόες,Boaz,N-NMS,G1003,Matthew 1,40
Ἰωβὴδ,Obed,N-AMS,G5601,Matthew 1,41
Ῥούθ,Ruth,N-GFS,G4503,Matthew 1,42
Ἰωβὴδ,Obed,N-NMS,G5601,Matthew 1,43
Ἰεσσαί,Jesse,N-AMS,G2421,Matthew 1,44
Ἰεσσαὶ,Jesse,N-NMS,G2421,Matthew 1,45
Δαυὶδ,David,N-AMS,G1138,Matthew 1,46
βασιλέα,king,N-AMS,G935,Matthew 1,47
Δαυὶδ,David,N-NMS,G1138,Matthew 1,48
Σολομῶνα,Solomon,N-AMS,G4672,Matthew 1,49
τοῦ,-,Art-GMS,G3588,Matthew 1,50
Οὐρίου,of Uriah,N-GMS,G3774,Matthew 1,51
Σολομὼν,Solomon,N-NMS,G4672,Matthew 1,52
Ῥοβοάμ,Rehoboam,N-AMS,G4497,Matthew 1,53
Ῥοβοὰμ,Rehoboam,N-NMS,G4497,Matthew 1,54
Ἀβιά,Abijah,N-AMS,G7,Matthew 1,55
Ἀβιὰ,Abijah,N-NMS,G7,Matthew 1,56
Ἀσάφ,Asa,N-AMS,G760,Matthew 1,57
Ἀσὰφ,Asa,N-NMS,G760,Matthew 1,58
Ἰωσαφάτ,Jehoshaphat,N-AMS,G2498,Matthew 1,59
Ἰωσαφὰτ,Jehoshaphat,N-NMS,G2498,Matthew 1,60
Ἰωράμ,Joram,N-AMS,G2496,Matthew 1,61
Ἰωρὰμ,Joram,N-NMS,G2496,Matthew 1,62
Ὀζίαν,Uzziah,N-AMS,G3604,Matthew 1,63
Ὀζίας,Uzziah,N-NMS,G3604,Matthew 1,64
Ἰωαθάμ,Jotham,N-AMS,G2488,Matthew 1,65
Ἰωαθὰμ,Jotham,N-NMS,G2488,Matthew 1,66
Ἄχαζ,Ahaz,N-AMS,G881,Matthew 1,67
Ἄχαζ,Ahaz,N-NMS,G881,Matthew 1,68
Ἑζεκίαν,Hezekiah,N-AMS,G1478,Matthew 1,69
Ἑζεκίας,Hezekiah,N-NMS,G1478,Matthew 1,70
Μανασσῆ,Manasseh,N-AMS,G3128,Matthew 1,71
Μανασσῆς,Manasseh,N-NMS,G3128,Matthew 1,72
Ἀμώς,Amos,N-AMS,G301,Matthew 1,73
Ἀμὼς,Amos,N-NMS,G301,Matthew 1,74
Ἰωσίαν,Josiah,N-AMS,G2502,Matthew 1,75
Ἰωσίας,Josiah,N-NMS,G2502,Matthew 1,76
Ἰεχονίαν,Jeconiah,N-AMS,G2423,Matthew 1,77
ἐπὶ,at the time,Prep,G1909,Matthew 1,78
μετοικεσίας,carrying away,N-GFS,G3350,Matthew 1,79
Βαβυλῶνος,to Babylon,N-GFS,G897,Matthew 1,80
Μετὰ,After,Prep,G3326,Matthew 1,81
τὴν,the,Art-AFS,G3588,Matthew 1,82
μετοικεσίαν,carrying away,N-AFS,G3350,Matthew 1,83
Ἰεχονίας,Jeconiah,N-NMS,G2423,Matthew 1,84
Σαλαθιήλ,Shealtiel,N-AMS,G4528,Matthew 1,85
Σαλαθιὴλ,Shealtiel,N-NMS,G4528,Matthew 1,86
Ζοροβαβέλ,Zerubbabel,N-AMS,G2216,Matthew 1,87
Ζοροβαβὲλ,Zerubbabel,N-NMS,G2216,Matthew 1,88
Ἀβιούδ,Abiud,N-AMS,G10,Matthew 1,89
Ἀβιοὺδ,Abiud,N-NMS,G10,Matthew 1,90
Ἐλιακίμ,Eliakim,N-AMS,G1662,Matthew 1,91
Ἐλιακὶμ,Eliakim,N-NMS,G1662,Matthew 1,92
Ἀζώρ,Azor,N-AMS,G107,Matthew 1,93
Ἀζὼρ,Azor,N-NMS,G107,Matthew 1,94
Σαδώκ,Zadok,N-AMS,G4524,Matthew 1,95
Σαδὼκ,Zadok,N-NMS,G4524,Matthew 1,96
Ἀχίμ,Achim,N-AMS,G885,Matthew 1,97
Ἀχὶμ,Achim,N-NMS,G885,Matthew 1,98
Ἐλιούδ,Eliud,N-AMS,G1664,Matthew 1,99
Ἐλιοὺδ,Eliud,N-NMS,G1664,Matthew 1,100
Ἐλεάζαρ,Eleazar,N-AMS,G1648,Matthew 1,101
Ἐλεάζαρ,Eleazar,N-NMS,G1648,Matthew 1,102
Ματθάν,Matthan,N-AMS,G3157,Matthew 1,103
Ματθὰν,Matthan,N-NMS,G3157,Matthew 1,104
Ἰωσὴφ,Joseph,N-AMS,G2501,Matthew 1,105
ἄνδρα,husband,N-AMS,G435,Matthew 1,106
Μαρίας,of Mary,N-GFS,G3137,Matthew 1,107
ἐξ,out of,Prep,G1537,Matthew 1,108
ἧς,whom,RelPro-GFS,G3739,Matthew 1,109
ἐγεννήθη,was born,V-AIP-3S,G1080,Matthew 1,110
Ἰησοῦς,Jesus,N-NMS,G2424,Matthew 1,111
ὁ,the One,Art-NMS,G3588,Matthew 1,112
λεγόμενος,being called,V-PPM/P-NMS,G3004,Matthew 1,113
Χριστός,Christ,N-NMS,G5547,Matthew 1,114
Πᾶσαι,All,Adj-NFP,G3956,Matthew 1,115
οὖν,therefore,Conj,G3767,Matthew 1,116
αἱ,the,Art-NFP,G3588,Matthew 1,117
γενεαὶ,generations,N-NFP,G1074,Matthew 1,118
ἀπὸ,from,Prep,G575,Matthew 1,119
Ἀβραὰμ,Abraham,N-GMS,G11,Matthew 1,120
ἕως,to,Prep,G2193,Matthew 1,121
δεκατέσσαρες,fourteen,Adj-NFP,G1180,Matthew 1,122
Τοῦ,-,Art-GMS,G3588,Matthew 1,123
ἡ,the,Art-NFS,G3588,Matthew 1,124
γένεσις,birth,N-NFS,G1078,Matthew 1,125
οὕτως,thus,Adv,G3779,Matthew 1,126
ἦν,came about,V-IIA-3S,G1510,Matthew 1,127
μνηστευθείσης,Having been pledged,V-APP-GFS,G3423,Matthew 1,128
μητρὸς,mother,N-GFS,G3384,Matthew 1,129
τῷ,-,Art-DMS,G3588,Matthew 1,130
Ἰωσήφ,to Joseph,N-DMS,G2501,Matthew 1,131
πρὶν,before,Adv,G4250,Matthew 1,132
ἢ,rather,Conj,G2228,Matthew 1,133
συνελθεῖν,coming together,V-ANA,G4905,Matthew 1,134
αὐτοὺς,of them,PPro-AM3P,G846,Matthew 1,135
εὑρέθη,she was found,V-AIP-3S,G2147,Matthew 1,136
ἐν,in,Prep,G1722,Matthew 1,137
γαστρὶ,womb,N-DFS,G1064,Matthew 1,138
ἔχουσα,having a child,V-PPA-NFS,G2192,Matthew 1,139
πνεύματος,the Spirit,N-GNS,G4151,Matthew 1,140
ἁγίου,Holy,Adj-GNS,G40,Matthew 1,141
Ἰωσὴφ,Joseph,N-NMS,G2501,Matthew 1,142
ἀνὴρ,husband,N-NMS,G435,Matthew 1,143
αὐτῆς,of her,PPro-GF3S,G846,Matthew 1,144
δίκαιος,righteous,Adj-NMS,G1342,Matthew 1,145
ὢν,being,V-PPA-NMS,G1510,Matthew 1,146
μὴ,not,Adv,G3361,Matthew 1,147
θέλων,willing,V-PPA-NMS,G2309,Matthew 1,148
αὐτὴν,her,PPro-AF3S,G846,Matthew 1,149
δειγματίσαι,to expose publicly,V-ANA,G1165,Matthew 1,150
ἐβουλήθη,purposed,V-AIP-3S,G1014,Matthew 1,151
λάθρᾳ,secretly,Adv,G2977,Matthew 1,152
ἀπολῦσαι,to send away,V-ANA,G630,Matthew 1,153
αὐτήν,her,PPro-AF3S,G846,Matthew 1,154
Ταῦτα,These things,DPro-ANP,G3778,Matthew 1,155
ἐνθυμηθέντος,having pondered,V-APP-GMS,G1760,Matthew 1,156
ἰδοὺ,behold,V-AMA-2S,G2400,Matthew 1,157
ἄγγελος,an angel,N-NMS,G32,Matthew 1,158
Κυρίου,of the Lord,N-GMS,G2962,Matthew 1,159
κατ,in,Prep,G2596,Matthew 1,160
ὄναρ,a dream,N-ANS,G3677,Matthew 1,161
ἐφάνη,appeared,V-AIP-3S,G5316,Matthew 1,162
αὐτῷ,to him,PPro-DM3S,G846,Matthew 1,163
λέγων,saying,V-PPA-NMS,G3004,Matthew 1,164
Ἰωσὴφ,Joseph,N-VMS,G2501,Matthew 1,165
υἱὸς,son,N-NMS,G5207,Matthew 1,166
Δαυίδ,of David,N-GMS,G1138,Matthew 1,167
φοβηθῇς,you should fear,V-ASP-2S,G5399,Matthew 1,168
παραλαβεῖν,to receive,V-ANA,G3880,Matthew 1,169
Μαρίαν,Mary,N-AFS,G3137,Matthew 1,170
γυναῖκά,wife,N-AFS,G1135,Matthew 1,171
σου,of you,PPro-G2S,G4771,Matthew 1,172
τὸ,that,Art-NNS,G3588,Matthew 1,173
γὰρ,for,Conj,G1063,Matthew 1,174
αὐτῇ,her,PPro-DF3S,G846,Matthew 1,175
γεννηθὲν,having been conceived,V-APP-NNS,G1080,Matthew 1,176
Πνεύματός,the Spirit,N-GNS,G4151,Matthew 1,177
ἐστιν,is,V-PIA-3S,G1510,Matthew 1,178
Ἁγίου,Holy,Adj-GNS,G40,Matthew 1,179
τέξεται,She will bear,V-FIM-3S,G5088,Matthew 1,180
υἱὸν,a son,N-AMS,G5207,Matthew 1,181
καλέσεις,you will call,V-FIA-2S,G2564,Matthew 1,182
τὸ,the,Art-ANS,G3588,Matthew 1,183
ὄνομα,name,N-ANS,G3686,Matthew 1,184
Ἰησοῦν,Jesus,N-AMS,G2424,Matthew 1,185
αὐτὸς,He,PPro-NM3S,G846,Matthew 1,186
σώσει,will save,V-FIA-3S,G4982,Matthew 1,187
λαὸν,people,N-AMS,G2992,Matthew 1,188
τῶν,the,Art-GFP,G3588,Matthew 1,189
ἁμαρτιῶν,sins,N-GFP,G266,Matthew 1,190
αὐτῶν,of them,PPro-GM3P,G846,Matthew 1,191
Τοῦτο,This,DPro-NNS,G3778,Matthew 1,192
ὅλον,all,Adj-NNS,G3650,Matthew 1,193
γέγονεν,has come to pass,V-RIA-3S,G1096,Matthew 1,194
ἵνα,that,Conj,G2443,Matthew 1,195
πληρωθῇ,may be fulfilled,V-ASP-3S,G4137,Matthew 1,196
ῥηθὲν,having been spoken,V-APP-NNS,G2046,Matthew 1,197
ὑπὸ,by,Prep,G5259,Matthew 1,198
διὰ,through,Prep,G1223,Matthew 1,199
προφήτου,prophet,N-GMS,G4396,Matthew 1,200
λέγοντος,saying,V-PPA-GMS,G3004,Matthew 1,201
Ἰδοὺ,Behold,V-AMA-2S,G2400,Matthew 1,202
παρθένος,virgin,N-NFS,G3933,Matthew 1,203
ἕξει,will hold,V-FIA-3S,G2192,Matthew 1,204
υἱόν,a son,N-AMS,G5207,Matthew 1,205
καλέσουσιν,they will call,V-FIA-3P,G2564,Matthew 1,206
Ἐμμανουήλ,Immanuel,N-AMS,G1694,Matthew 1,207
ὅ,which,RelPro-NNS,G3739,Matthew 1,208
μεθερμηνευόμενον,being translated,V-PPM/P-NNS,G3177,Matthew 1,209
Μεθ,With,Prep,G3326,Matthew 1,210
ἡμῶν,us,PPro-G1P,G1473,Matthew 1,211
Θεός,God,N-NMS,G2316,Matthew 1,212
Ἐγερθεὶς,Having been awoken,V-APP-NMS,G1453,Matthew 1,213
ὕπνου,sleep,N-GMS,G5258,Matthew 1,214
ἐποίησεν,he did,V-AIA-3S,G4160,Matthew 1,215
ὡς,as,Adv,G5613,Matthew 1,216
προσέταξεν,had commanded,V-AIA-3S,G4367,Matthew 1,217
παρέλαβεν,received,V-AIA-3S,G3880,Matthew 1,218
γυναῖκα,wife,N-AFS,G1135,Matthew 1,219
οὐκ,not,Adv,G3756,Matthew 1,220
ἐγίνωσκεν,knew,V-IIA-3S,G1097,Matthew 1,221
οὗ,that,RelPro-GMS,G3739,Matthew 1,222
ἔτεκεν,she had brought forth,V-AIA-3S,G5088,Matthew 1,223
ἐκάλεσεν,he called,V-AIA-3S,G2564,Matthew 1,224
Τοῦ,-,Art-GMS,G3588,Matthew 2,225
δὲ,Now,Conj,G1161,Matthew 2,226
Ἰησοῦ,Jesus,N-GMS,G2424,Matthew 2,227
γεννηθέντος,having been born,V-APP-GMS,G1080,Matthew 2,228
ἐν,in,Prep,G1722,Matthew 2,229
Βηθλέεμ,Bethlehem,N-DFS,G965,Matthew 2,230
τῆς,-,Art-GFS,G3588,Matthew 2,231
Ἰουδαίας,of Judea,N-GFS,G2449,Matthew 2,232
ἡμέραις,the days,N-DFP,G2250,Matthew 2,233
Ἡρῴδου,of Herod,N-GMS,G2264,Matthew 2,234
τοῦ,the,Art-GMS,G3588,Matthew 2,235
βασιλέως,king,N-GMS,G935,Matthew 2,236
ἰδοὺ,behold,V-AMA-2S,G2400,Matthew 2,237
μάγοι,Magi,N-NMP,G3097,Matthew 2,238
ἀπὸ,from the,Prep,G575,Matthew 2,239
ἀνατολῶν,east,N-GFP,G395,Matthew 2,240
παρεγένοντο,arrived,V-AIM-3P,G3854,Matthew 2,241
εἰς,in,Prep,G1519,Matthew 2,242
Ἱεροσόλυμα,Jerusalem,N-ANP,G2414,Matthew 2,243
λέγοντες,saying,V-PPA-NMP,G3004,Matthew 2,244
Ποῦ,Where,Adv,G4226,Matthew 2,245
ἐστιν,is,V-PIA-3S,G1510,Matthew 2,246
ὁ,the One,Art-NMS,G3588,Matthew 2,247
τεχθεὶς,having been born,V-APP-NMS,G5088,Matthew 2,248
βασιλεὺς,King,N-NMS,G935,Matthew 2,249
τῶν,of the,Art-GMP,G3588,Matthew 2,250
Ἰουδαίων,Jews,Adj-GMP,G2453,Matthew 2,251
εἴδομεν,We saw,V-AIA-1P,G3708,Matthew 2,252
γὰρ,for,Conj,G1063,Matthew 2,253
αὐτοῦ,of Him,PPro-GM3S,G846,Matthew 2,254
τὸν,the,Art-AMS,G3588,Matthew 2,255
ἀστέρα,star,N-AMS,G792,Matthew 2,256
τῇ,the,Art-DFS,G3588,Matthew 2,257
ἀνατολῇ,east,N-DFS,G395,Matthew 2,258
καὶ,and,Conj,G2532,Matthew 2,259
ἤλθομεν,are come,V-AIA-1P,G2064,Matthew 2,260
προσκυνῆσαι,to worship,V-ANA,G4352,Matthew 2,261
αὐτῷ,Him,PPro-DM3S,G846,Matthew 2,262
Ἀκούσας,Having heard,V-APA-NMS,G191,Matthew 2,263
Ἡρῴδης,Herod,N-NMS,G2264,Matthew 2,264
ἐταράχθη,he was troubled,V-AIP-3S,G5015,Matthew 2,265
πᾶσα,all,Adj-NFS,G3956,Matthew 2,266
Ἱεροσόλυμα,Jerusalem,N-NFS,G2414,Matthew 2,267
μετ,with,Prep,G3326,Matthew 2,268
συναγαγὼν,having gathered together,V-APA-NMS,G4863,Matthew 2,269
πάντας,all,Adj-AMP,G3956,Matthew 2,270
τοὺς,the,Art-AMP,G3588,Matthew 2,271
ἀρχιερεῖς,chief priests,N-AMP,G749,Matthew 2,272
γραμματεῖς,scribes,N-AMP,G1122,Matthew 2,273
λαοῦ,people,N-GMS,G2992,Matthew 2,274
ἐπυνθάνετο,he was inquiring,V-IIM/P-3S,G4441,Matthew 2,275
παρ,of,Prep,G3844,Matthew 2,276
αὐτῶν,them,PPro-GM3P,G846,Matthew 2,277
ποῦ,where,Adv,G4226,Matthew 2,278
Χριστὸς,Christ,N-NMS,G5547,Matthew 2,279
γεννᾶται,was to be born,V-PIM/P-3S,G1080,Matthew 2,280
Οἱ,-,Art-NMP,G3588,Matthew 2,281
εἶπαν,they said,V-AIA-3P,G2036,Matthew 2,282
Ἐν,In,Prep,G1722,Matthew 2,283
οὕτως,thus,Adv,G3779,Matthew 2,284
γέγραπται,has it been written,V-RIM/P-3S,G1125,Matthew 2,285
διὰ,through,Prep,G1223,Matthew 2,286
προφήτου,prophet,N-GMS,G4396,Matthew 2,287
Καὶ,And,Conj,G2532,Matthew 2,288
σύ,you,PPro-N2S,G4771,Matthew 2,289
Βηθλέεμ,Bethlehem,N-VFS,G965,Matthew 2,290
γῆ,land,N-VFS,G1093,Matthew 2,291
Ἰούδα,of Judah,N-GMS,G2448,Matthew 2,292
οὐδαμῶς,by no means,Adv,G3760,Matthew 2,293
ἐλαχίστη,least,Adj-NFS-S,G1646,Matthew 2,294
εἶ,are,V-PIA-2S,G1510,Matthew 2,295
τοῖς,the,Art-DMP,G3588,Matthew 2,296
ἡγεμόσιν,rulers,N-DMP,G2232,Matthew 2,297
ἐκ,out,Prep,G1537,Matthew 2,298
σοῦ,of you,PPro-G2S,G4771,Matthew 2,299
ἐξελεύσεται,will go forth,V-FIM-3S,G1831,Matthew 2,300
ἡγούμενος,One leading,V-PPM/P-NMS,G2233,Matthew 2,301
ὅστις,who,RelPro-NMS,G3748,Matthew 2,302
ποιμανεῖ,will shepherd,V-FIA-3S,G4165,Matthew 2,303
λαόν,people,N-AMS,G2992,Matthew 2,304
μου,of Me,PPro-G1S,G1473,Matthew 2,305
Ἰσραήλ,Israel,N-AMS,G2474,Matthew 2,306
Τότε,Then,Adv,G5119,Matthew 2,307
λάθρᾳ,secretly,Adv,G2977,Matthew 2,308
καλέσας,having called,V-APA-NMS,G2564,Matthew 2,309
μάγους,Magi,N-AMP,G3097,Matthew 2,310
ἠκρίβωσεν,inquired exactly,V-AIA-3S,G198,Matthew 2,311
χρόνον,time,N-AMS,G5550,Matthew 2,312
φαινομένου,appearing,V-PPM/P-GMS,G5316,Matthew 2,313
ἀστέρος,star,N-GMS,G792,Matthew 2,314
πέμψας,having sent,V-APA-NMS,G3992,Matthew 2,315
αὐτοὺς,them,PPro-AM3P,G846,Matthew 2,316
Βηθλέεμ,Bethlehem,N-AFS,G965,Matthew 2,317
εἶπεν,he said,V-AIA-3S,G2036,Matthew 2,318
Πορευθέντες,Having gone,V-APP-NMP,G4198,Matthew 2,319
ἐξετάσατε,search,V-AMA-2P,G1833,Matthew 2,320
ἀκριβῶς,carefully,Adv,G199,Matthew 2,321
περὶ,for,Prep,G4012,Matthew 2,322
τοῦ,the,Art-GNS,G3588,Matthew 2,323
παιδίου,Child,N-GNS,G3813,Matthew 2,324
ἐπὰν,when,Conj,G1875,Matthew 2,325
εὕρητε,You shall have found Him,V-ASA-2P,G2147,Matthew 2,326
ἀπαγγείλατέ,bring word back,V-AMA-2P,G518,Matthew 2,327
μοι,to me,PPro-D1S,G1473,Matthew 2,328
ὅπως,so that,Conj,G3704,Matthew 2,329
κἀγὼ,I also,PPro-N1S,G2504,Matthew 2,330
ἐλθὼν,having come,V-APA-NMS,G2064,Matthew 2,331
προσκυνήσω,may worship,V-ASA-1S,G4352,Matthew 2,332
ἀκούσαντες,having heard,V-APA-NMP,G191,Matthew 2,333
ἐπορεύθησαν,they went away,V-AIP-3P,G4198,Matthew 2,334
ἀστὴρ,star,N-NMS,G792,Matthew 2,335
ὃν,which,RelPro-AMS,G3739,Matthew 2,336
εἶδον,they saw,V-AIA-3P,G3708,Matthew 2,337
προῆγεν,went before,V-IIA-3S,G4254,Matthew 2,338
αὐτούς,them,PPro-AM3P,G846,Matthew 2,339
ἕως,until,Conj,G2193,Matthew 2,340
ἐστάθη,it stood,V-AIP-3S,G2476,Matthew 2,341
ἐπάνω,over,Prep,G1883,Matthew 2,342
οὗ,where,Adv,G3757,Matthew 2,343
ἦν,was,V-IIA-3S,G1510,Matthew 2,344
τὸ,the,Art-NNS,G3588,Matthew 2,345
παιδίον,Child,N-NNS,G3813,Matthew 2,346
ἰδόντες,Having seen,V-APA-NMP,G3708,Matthew 2,347
ἐχάρησαν,they rejoiced with,V-AIP-3P,G5463,Matthew 2,348
χαρὰν,joy,N-AFS,G5479,Matthew 2,349
μεγάλην,great,Adj-AFS,G3173,Matthew 2,350
σφόδρα,exceedingly,Adv,G4970,Matthew 2,351
ἐλθόντες,having come,V-APA-NMP,G2064,Matthew 2,352
τὴν,the,Art-AFS,G3588,Matthew 2,353
οἰκίαν,house,N-AFS,G3614,Matthew 2,354
τὸ,the,Art-ANS,G3588,Matthew 2,355
παιδίον,Child,N-ANS,G3813,Matthew 2,356
μετὰ,with,Prep,G3326,Matthew 2,357
Μαρίας,Mary,N-GFS,G3137,Matthew 2,358
μητρὸς,mother,N-GFS,G3384,Matthew 2,359
πεσόντες,having fallen down,V-APA-NMP,G4098,Matthew 2,360
προσεκύνησαν,they worshiped,V-AIA-3P,G4352,Matthew 2,361
ἀνοίξαντες,having opened,V-APA-NMP,G455,Matthew 2,362
θησαυροὺς,treasures,N-AMP,G2344,Matthew 2,363
προσήνεγκαν,they offered,V-AIA-3P,G4374,Matthew 2,364
δῶρα,gifts,N-ANP,G1435,Matthew 2,365
χρυσὸν,gold,N-AMS,G5557,Matthew 2,366
λίβανον,frankincense,N-AMS,G3030,Matthew 2,367
σμύρναν,myrrh,N-AFS,G4666,Matthew 2,368
χρηματισθέντες,having been divinely warned,V-APP-NMP,G5537,Matthew 2,369
κατ,in,Prep,G2596,Matthew 2,370
ὄναρ,a dream,N-ANS,G3677,Matthew 2,371
μὴ,not,Adv,G3361,Matthew 2,372
ἀνακάμψαι,to return,V-ANA,G344,Matthew 2,373
πρὸς,to,Prep,G4314,Matthew 2,374
Ἡρῴδην,Herod,N-AMS,G2264,Matthew 2,375
δι,by,Prep,G1223,Matthew 2,376
ἄλλης,another,Adj-GFS,G243,Matthew 2,377
ὁδοῦ,route,N-GFS,G3598,Matthew 2,378
ἀνεχώρησαν,they withdrew,V-AIA-3P,G402,Matthew 2,379
χώραν,country,N-AFS,G5561,Matthew 2,380
Ἀναχωρησάντων,Having withdrawn,V-APA-GMP,G402,Matthew 2,381
ἄγγελος,an angel,N-NMS,G32,Matthew 2,382
κυρίου,of the Lord,N-GMS,G2962,Matthew 2,383
φαίνεται,appears,V-PIM/P-3S,G5316,Matthew 2,384
τῷ,-,Art-DMS,G3588,Matthew 2,385
Ἰωσὴφ,to Joseph,N-DMS,G2501,Matthew 2,386
λέγων,saying,V-PPA-NMS,G3004,Matthew 2,387
Ἐγερθεὶς,Having arisen,V-APP-NMS,G1453,Matthew 2,388
παράλαβε,take,V-AMA-2S,G3880,Matthew 2,389
μητέρα,mother,N-AFS,G3384,Matthew 2,390
φεῦγε,flee,V-PMA-2S,G5343,Matthew 2,391
Αἴγυπτον,Egypt,N-AFS,G125,Matthew 2,392
ἴσθι,remain,V-PMA-2S,G1510,Matthew 2,393
ἐκεῖ,there,Adv,G1563,Matthew 2,394
ἂν,-,Prtcl,G302,Matthew 2,395
εἴπω,I should tell,V-ASA-1S,G2036,Matthew 2,396
σοι,you,PPro-D2S,G4771,Matthew 2,397
μέλλει,is about,V-PIA-3S,G3195,Matthew 2,398
ζητεῖν,to seek,V-PNA,G2212,Matthew 2,399
ἀπολέσαι,to destroy,V-ANA,G622,Matthew 2,400
αὐτό,Him,PPro-AN3S,G846,Matthew 2,401
Ὁ,-,Art-NMS,G3588,Matthew 2,402
ἐγερθεὶς,having arisen,V-APP-NMS,G1453,Matthew 2,403
παρέλαβεν,he took,V-AIA-3S,G3880,Matthew 2,404
νυκτὸς,by night,N-GFS,G3571,Matthew 2,405
ἀνεχώρησεν,withdrew,V-AIA-3S,G402,Matthew 2,406
ἕως,until,Prep,G2193,Matthew 2,407
τελευτῆς,death,N-GFS,G5054,Matthew 2,408
ἵνα,so that,Conj,G2443,Matthew 2,409
πληρωθῇ,it might be fulfilled,V-ASP-3S,G4137,Matthew 2,410
ῥηθὲν,having been spoken,V-APP-NNS,G2046,Matthew 2,411
ὑπὸ,by,Prep,G5259,Matthew 2,412
λέγοντος,saying,V-PPA-GMS,G3004,Matthew 2,413
Ἐξ,Out,Prep,G1537,Matthew 2,414
Αἰγύπτου,of Egypt,N-GFS,G125,Matthew 2,415
ἐκάλεσα,have I called,V-AIA-1S,G2564,Matthew 2,416
υἱόν,Son,N-AMS,G5207,Matthew 2,417
ἰδὼν,having seen,V-APA-NMS,G3708,Matthew 2,418
ὅτι,that,Conj,G3754,Matthew 2,419
ἐνεπαίχθη,he had been outwitted,V-AIP-3S,G1702,Matthew 2,420
μάγων,Magi,N-GMP,G3097,Matthew 2,421
ἐθυμώθη,was enraged,V-AIP-3S,G2373,Matthew 2,422
λίαν,intensely,Adv,G3029,Matthew 2,423
ἀποστείλας,having sent forth,V-APA-NMS,G649,Matthew 2,424
ἀνεῖλεν,he put to death,V-AIA-3S,G337,Matthew 2,425
παῖδας,boys,N-AMP,G3816,Matthew 2,426
πᾶσι,all,Adj-DNP,G3956,Matthew 2,427
τοῖς,the,Art-DNP,G3588,Matthew 2,428
ὁρίοις,vicinity,N-DNP,G3725,Matthew 2,429
αὐτῆς,of it,PPro-GF3S,G846,Matthew 2,430
διετοῦς,two years old,Adj-GMS,G1332,Matthew 2,431
κατωτέρω,under,Adv,G2736,Matthew 2,432
κατὰ,according to,Prep,G2596,Matthew 2,433
παρὰ,from,Prep,G3844,Matthew 2,434
τότε,Then,Adv,G5119,Matthew 2,435
ἐπληρώθη,was fulfilled,V-AIP-3S,G4137,Matthew 2,436
Ἰερεμίου,Jeremiah,N-GMS,G2408,Matthew 2,437
Φωνὴ,A voice,N-NFS,G5456,Matthew 2,438
Ῥαμὰ,Ramah,N-DFS,G4471,Matthew 2,439
ἠκούσθη,was heard,V-AIP-3S,G191,Matthew 2,440
κλαυθμὸς,weeping,N-NMS,G2805,Matthew 2,441
ὀδυρμὸς,mourning,N-NMS,G3602,Matthew 2,442
πολύς,great,Adj-NMS,G4183,Matthew 2,443
