1,ἄασα,ἀάω,v1saia---,lemming;morpheus
0,ἀασάμην,ἀάω,v1saie---,
0,ἀασθείς,ἀάω,v-sapp-n-,
1,ἀάσθην,ἀάω,v1saip---,lemming;morpheus
1,ἄαται,ἄω,v3spie---,morpheus
1,ἀᾶται,ἀάω,v3spie---,lemming
0,ἀβλεπτηθέντα,ἀβλεπτέω,v-sapp-a-,
1,ἀβόλησαν,ἀβολέω,v3paia---,lemming;morpheus
1,ἀβροτάξομεν,ἀβροτάζω,v1pasa---,morpheus
0,ἀβρῦναι,ἀβρύω,v--ana---,
1,ἀγάασθαι,ἄγαμαι,v--pne---,lemming;morpheus
1,ἀγάασθε,ἄγαμαι,v2ppie---,lemming;morpheus
1,ἀγαγεῖν,ἄγω,v--ana---,lemming;morpheus
0,ἀγαγέσθαι,ἄγω,v--ane---,
1,ἀγάγῃ,ἄγω,v3sasa---,lemming;morpheus
1,ἀγαγοίην,ἄγω,v1saoa---,morpheus
0,ἀγαγοίμην,ἄγω,v1saoe---,
1,ἀγάγοιμι,ἄγω,v1saoa---,lemming;morpheus
0,ἀγαγόμενος,ἄγω,v-sape-n-,
0,ἀγάγοχα,ἄγω,v1sria---,
0,ἀγαγών,ἄγω,v-sapa-n-,
1,ἀγαλθῆναι,ἀγάλλω,v--anp---,morpheus
1,ἀγάλλεο,ἀγάλλω,v2spme---,lemming;morpheus
0,ἀγαλλιάσομαι,ἀγαλλιάομαι,v1sfie---,
0,ἀγαλοῦμαι,ἀγάλω,v1sfie---,
0,ἀγαλῶ,ἀγάλω,v1sfia---,
0,ἀγανακτησάμενος,ἀγανακτέω,v-sape-n-,
1,ἀγαπαζέμεν,ἀγαπάζω,v--pna---,lemming;morpheus
1,ἀγαπάζεο,ἀγαπάζω,v2spme---,lemming;morpheus
1,ἀγαπάξαι,ἀγαπάζω,v--ana---,lemming;morpheus
0,ἀγαπὴν,ἀγαπάω,v--pna---,
1,ἀγάπησα,ἀγαπάω,v1saia---,lemming;morpheus
1,ἄγασαι,ἄγαμαι,v2spie---,lemming;morpheus
0,ἀγάσσἀντο,ἄγαμαι,v3paie---,
0,ἀγάσσἀσθαι,ἄγαμαι,v--ane---,
0,ἀγασθείς,ἄγαμαι,v-sapp-n-,
1,ἀγασθήσομαι,ἄγαμαι,v1sfip---,morpheus
0,ἀγάσσὀμαι,ἄγαμαι,v1sfie---,
1,ἀγγεῖλαι,ἀγγέλλω,v--ana---,lemming;morpheus
1,ἀγγείλαι,ἀγγέλλω,v3saoa---,lemming;morpheus
0,ἀγγειλάμενος,ἀγγέλλω,v-sape-n-,
0,ἀγγεῖλλςὨ,ἀγγέλλω,v-sapa-n-,
1,ἀγγελεῖν,ἀγγέλλω,v--fna---,morpheus
1,ἀγγελέτην,ἀγγέλλω,v3daia---,lemming
1,ἀγγελέω,ἀγγέλλω,v1sfia---,lemming;morpheus
0,ἀγγελήσομαι,ἀγγέλλω,v1sfip---,
0,ἀγγελθείς,ἀγγέλλω,v-sapp-n-,
1,ἀγγελθῆναι,ἀγγέλλω,v--anp---,lemming;morpheus
1,ἀγγέλλεσκε,ἀγγέλλω,v3siia---,morpheus
0,ἀγγελοίμην,ἀγγέλλω,v1saoe---,
0,ἀγγελοῦμαι,ἀγγέλλω,v1sfie---,
1,ἄγγελτο,ἀγγέλλω,v3slie---,lemming;morpheus
1,ἀγγελῶ,ἀγγέλλω,v1sfia---,lemming;morpheus
0,ἄγγηλα,ἀγγέλλω,v1saia---,
0,ἁγέαται,ἡγέομαι,v3prie---,
1,ἀγείοχα,ἄγω,v1sria---,lemming
1,ἀγεῖραι,ἀγείρω,v--ana---,lemming;morpheus
1,ἀγείραι,ἀγείρω,v3saoa---,lemming;morpheus
0,ἀγείρας,ἀγείρω,v-sapa-n-,
1,ἀγείρεν,ἀγείρω,v--pna---,morpheus
0,ἀγείς,ἄγνυμι,v-sapp-n-,
0,ἀγελάσαι,ἀγελάζομαι,v--ana---,
1,ἄγεν,ἄγω,v--pna---,morpheus
0,ἄγεν,ἄγνυμι,v3paip---,
1,ἄγεν,ἄγω,v3siia---,lemming;morpheus
0,ἀγερέσθαι,ἀγείρω,v--ane---,
1,κἄγερθεν,ἀγείρω,v3paip---,lemming;morpheus
1,ἀγερθήσομαι,ἀγείρω,v1sfip---,lemming;morpheus
0,ἀγέροντο,ἀγείρω,v3paie---,
0,ἀγεροῦμαι,ἀγείρω,v1sfie---,
1,ἀγερῶ,ἀγείρω,v1sfia---,lemming
1,ἄγεσκον,ἄγω,v1siia---,lemming;morpheus
1,ἀγέτην,ἄγω,v3diia---,lemming;morpheus
1,ἀγέωχα,ἄγω,v1sria---,lemming
1,ἀγηγέρατο,ἀγείρω,v3plie---,lemming;morpheus
0,ἀγήγερκα,ἀγείρω,v1sria---,
1,ἀγήγερμαι,ἀγείρω,v1srie---,lemming;morpheus
1,ἀγηγέρμην,ἀγείρω,v1slie---,lemming;morpheus
1,ἀγήγοχα,ἄγω,v1sria---,lemming
1,ἀγῆλαι,ἀγάλλω,v--ana---,lemming;morpheus
1,ἀγήλαιμι,ἀγάλλω,v1saoa---,lemming;morpheus
1,ἀγήλω,ἀγάλλω,v1sasa---,lemming;morpheus
0,ἄγημαι,ἡγέομαι,v1srie---,
1,ἄγην,ἄγω,v--pna---,morpheus
1,ἀγῆναι,ἄγνυμι,v--anp---,lemming;morpheus
1,ἀγήοχα,ἄγω,v1sria---,lemming;morpheus
1,ἄγῃ,ἄγω,v3spsa---,lemming;morpheus
1,ἁγῆται,ἡγέομαι,v3spse---,morpheus
0,ἁγιασθήτω,ἀγιάζω,v3samp---,
0,ἀγινέμενἁι,ἁγινέω,v--pna---,
0,ἀγίνεσχον,ἁγινέω,v3piia---,
0,ἀγινεῦσι,ἁγινέω,v3ppia---,
0,ἁγινήσω,ἁγινέω,v1sfia---,
0,ἁγισθέντες,ἁγίζω,v-papp-n-,
0,ἄγιτε,ἄγω,v2ppma---,
1,ἁγιῶ,ἁγίζω,v1sfia---,lemming;morpheus
1,ἀγκάσσασθαι,ἀγκάζομαι,v--ane---,morpheus
0,ἀγλαϊεῖσθαι,ἀγλαίζω,v--fne---,
0,ἀγλάϊτα,ἀγλαίζω,v1saia---,
1,ἀγλαϊῶ,ἀγλαίζω,v1sfia---,lemming;morpheus
0,ἀγνηκώς,ἀγνέω,v-srpa-n-,
0,ἁγνίσας,ἁγνίζω,v-sapa-n-,
0,ἀγνίσθητι,ἁγνίζω,v2samp---,
0,ἀγνοηθύήσομαι,ἀγνοέω,v1sfip---,
0,ἀγνοήσομαι,ἀγνοέω,v1sfie---,
0,ἀγνοήσω,ἀγνοέω,v2-fia---,
